"year","month","AO_00055","AO_00053","AO_00024","AO_00070","AO_00051","AO_00040","AO_00015","AO_00025","AO_00045","AO_00087","AO_00026","AO_00001","AO_00088","AO_00104","AO_00029","AO_00030","AO_00031","AO_00032","AO_00050","AO_00102","AO_00019","AO_00092","AO_00048","AO_00062","AO_00020","AO_00009","AO_00054","AO_00076","AO_00046","AO_00010","AO_00060","AO_00056","AO_00036","AO_00021","AO_00078","AO_00022","AO_00100","AO_00028","AO_00074","AO_00073","AO_00005","AO_00081","AO_00079","AO_00077","AO_00039","AO_00083","AO_00064","AO_00011","AO_00017","AO_00037","AO_00059","AO_00035","AO_00034","AO_00014","AO_00042","AO_00033","AO_00043","AO_00044","AO_00075","AO_00109","AO_00049","AO_00052","AO_00002","AO_00080","AO_00061","AO_00041","AO_00082","AO_00058","AO_00085","AO_00027","AO_00086","AO_00067","AO_00090","AO_00084","AO_00105","AO_00089","AO_00016","AO_00066","AO_00091","AO_00072","AO_00047","AO_00063","AO_00057","AO_00093","AO_00110","AO_00012","AO_00065","AO_00071","AO_00069","AO_00094","AO_00099","AO_00095","AO_00096","AO_00098","AO_00106","AO_00101","AO_00068","AO_00097","AO_00038","AO_00103","AO_00107","AO_00108","AO_00013"
1981,1,140.839711905,192.836577164,60.845707175,136.599655622,178.706862208,8.257902979,159.5949161,99.200329783,100.705328941,178.886046162,139.885454891,18.867786349,68.859701747,125.586585173,198.42039441,119.087420939,89.235162506,159.094032051,163.202741618,141.112435339,146.431398161,66.107260946,33.827933849,105.266688111,135.756228453,265.396333681,129.564075707,112.452565908,119.889161347,79.843660355,257.343629853,43.067162395,116.406020997,184.771097072,199.287658217,189.581083081,237.079869757,47.077582115,60.892349485,91.500056508,68.038010601,274.470904356,120.631018163,189.906810036,104.671705605,37.530932427,68.9646256,59.097354178,151.164713622,164.531865112,114.119690422,48.873307229,65.789717674,192.460418927,70.637588024,31.321474075,222.425740242,198.377685549,251.74343443,221.553308483,172.04255963,49.641611815,37.786971925,132.097720625,145.223450184,93.828342671,65.508689165,146.290135614,70.22082543,119.577133892,142.688676355,123.198621755,211.08812094,124.856322532,165.323506821,130.722991235,174.431337943,78.497748853,96.080511563,173.206281176,236.384699602,47.855663538,34.554916442,157.401036729,115.365523582,83.253535271,148.616390948,42.827661272,88.194790122,115.120685105,259.035777567,132.949511531,93.628638029,125.539866691,48.697559948,169.567978133,35.542846142,197.088514554,110.450695513,178.334377285,175.14631318,130.643795006,83.78659689
1981,2,172.627801657,196.824751615,92.498279813,151.962634868,129.048339593,74.038891795,128.099859476,176.142663472,106.008113622,162.973903427,208.829827326,89.592125884,157.930480017,126.41089416,191.796176434,202.142009983,90.77472901,196.76692438,143.03186131,165.184572693,112.323225736,92.350233491,105.831773631,109.061724901,98.897043937,126.477218871,91.611053825,95.099776747,128.715606456,138.679049495,136.151691192,68.98488425,46.599390032,87.918585548,143.476333387,121.600316516,168.328140729,99.273207191,107.75493204,116.923297876,128.764363056,105.585680011,105.870208497,148.785064707,187.637633331,67.277299873,62.485492236,96.620287178,159.032258741,31.541904926,159.150453566,72.448433869,82.017276284,164.241740696,48.69203806,33.710796598,90.769839762,132.203019862,135.858687872,145.0665679,186.881340964,98.613153934,97.867298842,151.979493138,148.370823392,62.239374641,92.368381033,101.38860535,85.530059338,184.602477781,142.834009159,184.43067265,42.844193459,223.355477816,190.632982371,105.388169284,134.889892342,131.114253997,89.273315191,175.477988026,111.219719649,58.866804731,56.088044527,183.642042395,91.538398262,117.1457398,139.985059016,80.347581386,101.336003547,183.216300243,117.714479197,134.776801823,100.725131035,215.906173224,99.692380309,198.537622448,83.187269928,152.53538418,160.654857636,42.543320179,179.636591675,177.249024383,112.438445817
1981,3,193.913577315,172.11017919,174.37361443,126.886242871,264.755199917,48.586879912,253.157816653,164.297677754,169.823600292,169.091231109,114.834200146,72.186420624,154.722664598,163.460390214,174.528661207,149.499825005,180.035335417,149.258078106,145.648195994,179.786770413,135.883044239,234.717484248,122.328899171,237.855500934,174.448904035,195.82513213,285.548017504,252.474336154,239.131015302,183.005591151,171.419500591,200.256381636,71.394238956,150.200527371,175.482187512,125.113779061,159.581835283,125.547484222,147.905369517,257.735005865,135.455935899,238.65694334,263.188896875,209.679127928,153.859329705,118.768666517,192.521975515,186.566697122,179.488377101,58.201745513,148.183862991,174.74624979,182.70579553,169.55488157,60.40329719,127.498298418,126.146136053,187.208753354,163.035974499,120.381368163,190.796494355,241.671310296,92.65216006,191.586618908,141.459156987,104.905427458,192.544219728,241.180823795,237.054867023,138.370131733,261.813733819,229.20645094,84.2516489,214.110441918,144.521453847,274.701409349,237.969091894,253.20349596,139.261267664,182.610541818,226.380756869,161.778162948,146.233763112,165.531342383,281.167108305,236.832099683,172.912672522,188.055160756,159.660859575,144.548583274,283.836260315,151.248104322,210.980197189,184.224912892,197.22943351,136.732123263,140.599655353,185.448056695,140.727048986,99.075368997,154.807482606,176.60903001,210.844340798
1981,4,121.144195809,92.58668137,19.776930333,112.535590654,31.876372103,9.25219822,23.046139721,12.305860997,74.608238221,175.716703644,168.099476361,13.058059154,11.764784574,87.430320264,159.431575768,192.332091088,72.754530427,133.736972098,14.54899931,108.030544762,16.189359904,60.967931985,15.445846442,118.361211777,18.092797281,22.205396652,75.127660279,65.955855134,102.245233057,13.421520233,24.479269743,44.950351239,16.377028942,23.02385139,19.00398922,16.858104704,16.706441402,14.381594181,16.844097198,108.310869682,13.822504044,36.809322358,109.657177448,26.523998261,161.328973765,66.600010871,84.807149409,27.371003329,14.00211334,24.38866234,14.024337888,44.151685241,56.46071303,18.973959925,17.156716346,58.942126751,22.097565647,16.937354088,21.747694967,17.477408409,97.09134912,42.764951706,9.616292477,15.541339993,13.81467342,19.229414942,56.503060581,50.592841375,81.564919946,227.163447397,117.881414413,113.953679561,26.94938278,157.538525576,166.35979534,95.952640529,22.235259771,58.624037511,92.345123761,121.59614658,36.286325933,49.881043195,20.984755753,124.490304953,100.055730809,43.043279171,94.70883179,25.687099218,16.461629864,241.714084872,65.60893249,99.581989524,85.877095702,140.242229453,19.054846404,184.191089385,11.630244017,17.573842049,13.950094222,27.910131936,145.302956579,13.663795353,29.34849727
1981,5,18.235549449,9.087639094,8.661838531,16.54040444,10.425577164,0,9.496687889,6.052594662,7.809487104,18.773101807,21.098984006,0,6.457443238,8.165105581,13.87287331,29.662556171,8.626949787,26.600009917,5.678732396,12.62699175,0,4.340833187,6.779743672,11.016857148,0,7.30831194,7.175729274,0,0,9.113365173,7.238095284,8.182767868,0,0,7.988743782,5.420777798,6.922410488,0,9.473145485,7.50211668,5.267148494,8.133752822,0,8.817911148,12.967586756,9.948199272,11.592996125,8.901321411,9.08499515,0,5.799266338,7.545628548,6.968149185,10.897837638,0,6.601377487,0,8.158394814,6.98682928,5.577474118,11.42029202,8.157732964,0,9.241508603,6.231632232,0,7.823769093,6.384969234,0,34.007731914,5.529186726,12.333568572,0,26.961408139,26.180438521,0,10.15770948,7.28036356,2.852475226,21.193676949,9.525735856,6.788962364,0,22.596209769,0,8.528805733,8.528111577,6.629071712,0,37.734708785,8.080396652,13.695092678,8.625945031,24.50206471,7.6302104,21.438434834,5.674610138,8.556922912,6.344866276,0,37.99698639,6.34920168,9.02316475
1981,6,0,0,0,5.321546555,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94976306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.116416931,0,3.30408144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.242174625,0,0,0,0,3.94170475,0,0,0,8.854122162,2.982422115,0,0,0,2.820545197,0,0,0,0,0,5.463217735,0,3.139485121,0,0,0,4.558385372,0,0,0,0,6.532347202,0,0
1981,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63203001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.840534687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.501295089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009523677,0,0,0,0,0,0
1981,8,6.076632023,4.963481426,0,0,4.501958848,0,6.019694567,0,0,0.835476696,0,0,0,0,3.447190523,15.70353603,0,4.883981228,0,0,0,0,0,6.255532265,0,1.926166058,5.420602918,8.058891296,10.95445824,0,0,0,0,0,2.180064678,0,0,0,0,5.675293446,0,5.489021778,15.382023812,5.171873331,3.521950722,0,5.225626707,0,0,0,0,0,0,0,0,0,0,1.468361497,0,0,0,0,0,0,0,0,0,5.242141724,5.264579773,7.084853172,11.837713719,11.53491044,0,9.662900686,3.350072861,5.233067036,5.298643232,5.8430233,6.381080389,4.239532948,4.664378643,0,0,6.966308594,6.100569725,8.156242371,0,0,0,20.286830664,7.297215462,0,0,8.169273853,0,4.627416611,0,0,0,0,2.092625618,0,6.798018696
1981,9,11.394559145,11.363545418,5.524816752,8.347457647,18.954243123,0,22.01834774,14.76826191,11.204446793,8.745793343,5.931266785,0,0,13.778674602,8.019160986,39.097714903,10.574167251,24.942095281,5.240519046,9.784529209,12.19809723,9.150655746,0,19.236945152,3.399014473,16.704761506,21.448259353,15.101085186,26.630412574,25.12935925,15.030979155,7.232992649,0,12.076047898,15.473992824,17.188931466,13.6704464,0,8.968952656,22.379481319,0,17.113643642,30.458393574,17.498136519,24.91669655,4.703771591,7.942799568,18.884884834,17.479578018,0,10.272212029,6.709057331,7.34314251,10.32147789,0,0,7.810029984,11.168704986,11.833387374,5.244172096,12.293317318,9.611840248,0,23.135027408,10.824923516,0,8.911817551,13.735357761,19.48055625,28.10380077,19.937857384,11.669224978,0,25.678746103,18.630339618,21.525732044,19.196581365,24.730424877,4.845740318,20.571285248,16.802484034,0,0,16.094001532,23.135629415,25.21638871,12.176577568,0,0,54.765923024,23.061022048,13.247365712,12.217018842,25.457579374,10.052399159,11.977525234,0,7.682742596,14.72258091,0,16.80833435,19.647586823,34.005662918
1981,10,212.674711711,133.360446926,141.628090372,95.182538984,107.767603881,0,113.591871491,77.65130664,83.727395773,164.255645986,117.832061291,20.71502066,78.094595434,87.549935336,105.125894069,160.925931683,63.442020889,138.509442102,51.333156048,72.702721117,77.569028853,103.350968601,30.647007947,172.313962927,87.589157352,66.051480289,170.541907313,205.026467556,182.618636372,120.431776987,65.573312043,54.177571532,23.542876717,63.118277784,64.562014699,65.661948919,57.454119685,54.501009465,121.878774652,196.220759388,54.247074124,79.249341969,149.483754158,89.072471974,166.752253527,29.613826036,41.481980086,180.92433478,90.795748113,12.683019638,72.766564487,49.161078454,51.985481023,81.329259153,30.20237827,27.812320232,44.405022381,67.4609375,60.819059848,40.849000931,77.393832926,127.458306791,35.191270827,102.04243112,99.666767482,56.395937914,71.215034005,144.131533264,196.168006655,160.262994998,149.873363974,188.799680222,24.56757617,205.252502443,141.285470006,236.774168977,106.797274827,200.066469193,64.92517471,154.523628001,110.360299344,34.300453663,55.849805836,163.099400047,218.025328165,204.15212871,121.791118854,109.467678075,53.908596991,209.979101896,121.496456022,91.970337391,103.808911805,160.189228056,88.447992329,125.91474819,70.939257153,66.065770029,76.398073321,39.388652563,165.707589861,127.325490593,186.93220269
