year,month,EDACaP010101,EDACaP010102,EDACaP010103,EDACaP010104,EDACaP010105,EDACaP010106,EDACaP010201,EDACaP010202,EDACaP010203,EDACaP010204,EDACaP010205,EDACaP010206,EDACaP010207,EDACaP010208,EDACaP010209,EDACaP010210,EDACaP010301,EDACaP010302,EDACaP010303,EDACaP010304,EDACaP010305,EDACaP010306,EDACaP010307,EDACaP010401,EDACaP010402,EDACaP010403,EDACaP010404,EDACaP010405,EDACaP010406,EDACaP010407,EDACaP010408,EDACaP010501,EDACaP010502,EDACaP010503,EDACaP020101,EDACaP0201011,EDACaP020102,EDACaP020103,EDACaP020104,EDACaP020105,EDACaP0201051,EDACaP020106,EDACaP020201,EDACaP020202,EDACaP020203,EDACaP020204,EDACaP020205,EDACaP020206,EDACaP020207,EDACaP0202071,EDACaP020301,EDACaP020302,EDACaP020303,EDACaP020304,EDACaP020305,EDACaP020306,EDACaP020401,EDACaP020402,EDACaP020403,EDACaP020404,EDACaP020405,EDACaP020501,EDACaP020502,EDACaP020503,EDACaP020504,EDACaP020505,EDACaP030101,EDACaP030102,EDACaP030103,EDACaP030104,EDACaP030105,EDACaP030106,EDACaP030107,EDACaP030108,EDACaP030109,EDACaP030110,EDACaP030111,EDACaP030112,EDACaP030113,EDACaP030114,EDACaP030115,EDACaP030116,EDACaP030117,EDACaP030119,EDACaP030120,EDACaP030121,EDACaP030201,EDACaP030202,EDACaP030203,EDACaP030204,EDACaP030205,EDACaP030206,EDACaP030207,EDACaP030208,EDACaP030209,EDACaP030211,EDACaP030301,EDACaP030302,EDACaP030303,EDACaP030304,EDACaP030305,EDACaP030306,EDACaP030307,EDACaP030308,EDACaP030310,EDACaP030311,EDACaP030401,EDACaP030402,EDACaP030403,EDACaP030404,EDACaP030405,EDACaP030406,EDACaP030407,EDACaP030408,EDACaP030409,EDACaP030410,EDACaP030411,EDACaP030412,EDACaP030413,EDACaP030414,EDACaP030415,EDACaP030416,EDACaP030419,EDACaP030420,EDACaP030501,EDACaP030502,EDACaP030503,EDACaP030504,EDACaP030505,EDACaP030506,EDACaP030507,EDACaP030508,EDACaP030509,EDACaP030510,EDACaP030511,EDACaP030512,EDACaP030513,EDACaP030514,EDACaP030515,EDACaP030516,EDACaP030517,EDACaP030518,EDACaP030519,EDACaP030521,EDACaP030522,EDACaP030523,EDACaP030601,EDACaP030602,EDACaP030603,EDACaP030604,EDACaP030605,EDACaP030606,EDACaP030607,EDACaP030608,EDACaP030609,EDACaP030610,EDACaP030611,EDACaP030612,EDACaP030613,EDACaP030614,EDACaP030616,EDACaP030617,EDACaP030618,EDACaP030701,EDACaP030702,EDACaP030703,EDACaP030704,EDACaP030705,EDACaP030706,EDACaP030707,EDACaP030708,EDACaP030709,EDACaP030710,EDACaP030711,EDACaP030713,EDACaP030801,EDACaP030802,EDACaP030803,EDACaP030804,EDACaP030805,EDACaP030806,EDACaP030901,EDACaP030902,EDACaP030903,EDACaP030904,EDACaP030905,EDACaP030906,EDACaP030907,EDACaP031001,EDACaP031002,EDACaP031003,EDACaP031004,EDACaP031005,EDACaP031101,EDACaP031201,EDACaP040101,EDACaP040102,EDACaP040103,EDACaP040104,EDACaP040105,EDACaP040106,EDACaP040107,EDACaP040108,EDACaP040109,EDACaP040110,EDACaP040111,EDACaP040112,EDACaP040113,EDACaP040114,EDACaP040115,EDACaP040116,EDACaP040117,EDACaP040118,EDACaP040119,EDACaP040201,EDACaP040202,EDACaP040203,EDACaP040204,EDACaP040205,EDACaP040206,EDACaP040207,EDACaP040208,EDACaP040209,EDACaP040210,EDACaP040211,EDACaP040212,EDACaP040213,EDACaP040214,EDACaP040215,EDACaP040216
1981,1,0.42,0.4,0,0,5.14,12,2.46,1.56,1.5,0,0,0,2.85,1.36,0,3.06,1.1,5.33,1.34,1.56,0,0,5.14,2.96,0,0,0.42,0.42,5.65,7.97,0,0,0,1.16,0,6.11,0,0,0,0,5.85,3.37,8.03,5.14,4.92,7.02,0,11.56,0,0,2.08,1.42,0,0,0.2,0,6.64,7.21,7.52,7.9,10.18,5.61,0.82,5.62,5.41,0.2,5.68,12.1,6.39,3.25,2.84,0,1.16,0,0.62,0.26,0.3,0.74,0.1,0.02,1.55,0,1.74,12.1,1.2,0.73,0.09,0,0,1.15,8.28,7.15,7.35,3.15,0,0,7.4,8.24,6.1,7.27,2.91,2.91,9,10.38,7.48,5.11,6.75,5.9,6.87,7.89,8.76,11.03,8.14,3.91,3.69,5.49,6.75,6.11,6.18,6.22,5.14,6.11,6.58,5.14,1.83,0,0,0,6.66,5.41,6.31,4.39,6.1,1.69,1.48,1.69,0,0,0,0,0,0,0,5.6,6.1,0,7.39,6.66,6.3,6.42,6.5,6.5,8.56,6.03,8.61,6.77,6.77,5.71,0.86,3.44,8.56,5.71,3.26,3.14,1.86,3.26,2.95,16.48,8.22,7.39,7.95,7.95,10.98,5.18,2.33,9.38,5.41,6.25,3.23,4.6,5.3,12.68,26.73,26.73,16.25,12.68,1.4,16.48,6.44,6.93,0,5.41,6.43,0.2,6.44,3.08,3.04,2.8,3.05,3.04,3.4,4.04,2.78,4.02,2.78,3.07,5.06,3.05,5.58,4.87,3.55,3.05,5.58,4.04,1.37,6.14,7.63,2.83,7.6,3.27,3.17,6.49,6.49,0.44,0.44,4.52,0,8.21,8.21,7.39
1981,2,0,0,0,0,0,1.23,3.01,2.58,0,0,0,0,0,0.2,0,2.13,4.32,4.58,0,0.84,0,0,2.32,4.83,0,0.21,5.9,5.9,7.13,8.04,6.05,0,0,0,5.59,2.83,0,7.17,7.44,7.74,11.17,8.88,5.82,2.32,0.63,5.56,0,6.48,0,0.62,30.54,24.23,18.17,30.76,25.2,27.16,6.09,8.73,6.29,5.73,8.51,13.14,32.66,17.09,20.62,25.2,0.2,9.84,6.88,0,0.14,0,0,0,0,0.45,1.04,0.88,0.13,0,5.15,0,4.41,9.84,0,6.52,6.19,1.46,2.48,5.88,9.1,9.75,9.04,8.03,3.86,6.59,8.4,9.3,7.39,7.9,8.37,8.37,9.21,11.65,6.77,10.16,11.16,12.45,11.18,10.19,13.49,12.91,15.04,15.5,13.54,14.23,11.16,9.47,12.59,20,14.4,9.47,9.58,14.4,15.76,11.73,11.41,11.87,20.32,14.81,18.04,19.84,22.46,29.05,22.7,29.05,11.55,18.85,27.16,12.84,17.18,19.11,18.06,21.73,22.46,11.87,9.61,8.95,8.31,8.12,7.37,7.37,9.67,3.61,6.58,4.74,4.74,5.79,1.62,7.16,9.67,5.79,8.21,7.11,8.27,8.21,7.63,14.67,9.97,9.61,7.81,7.81,9.31,2.97,8.9,3.84,5.36,7.44,6.7,5.28,2.13,12.75,17.41,17.41,10.96,12.75,0.88,14.67,20.25,16,29.66,20.62,18.8,2.55,20.25,0,2.35,0.62,1.47,2.35,3.34,4.25,1.23,0.2,1.23,0,6.61,1.47,5.55,6.83,2.26,1.47,5.55,4.25,0.4,4.18,5.14,2.3,9.11,3.32,5.05,7.43,7.43,0.44,0.44,4.11,0,8.46,8.46,7.49
1981,3,15.07,21.54,20.81,20.81,7.87,25.05,53.4,66.53,32.23,35.15,35.15,29.76,22.17,29.83,29.43,27.89,72.51,123.85,75.07,57.33,36.15,48.92,57.92,28.85,32.5,44.25,56.98,56.98,86.71,101.05,80.83,1.82,7.63,6.83,64.88,108.66,77.96,81.29,77.15,103.2,168.92,156,57.75,57.92,39.58,47.96,0,70.06,0,56.51,177.22,132.27,154.44,167.49,131.12,192.73,98.3,126.56,106.59,94.74,130.19,173.68,168.72,166.29,172,131.12,15.51,58.7,40.82,15.3,7.06,2.01,6.83,10.43,11.27,9.92,7.53,4,0.98,1.72,4.32,7.2,13,58.7,9.64,8.54,21.74,4.7,12.1,31.6,45.75,60.06,53.07,39.92,15.03,31.76,53.39,129.75,132.28,65.98,134.09,134.09,179.21,184.22,112.64,103.33,124.53,179.84,167.45,162.05,227.12,212.18,210.86,201.03,214.62,185.57,124.53,114.09,144.8,202.71,161.29,114.09,107.8,161.29,136.81,116.1,132.22,161.27,274.33,241.98,221.56,272.17,265.16,202.43,229.81,202.43,170.17,187.14,192.73,157.22,167.26,137.46,221.69,214.6,265.16,161.27,75.36,79.04,80.75,80.97,94.66,94.66,116.91,39.87,80.8,55.68,55.68,71.53,56.68,86.68,116.91,71.53,43.53,13.45,8.82,43.53,19.04,65.83,59.14,75.36,55.65,55.65,45.59,25.04,24.25,38.48,57.59,46.74,96.75,31.42,34.42,41.85,63.25,63.25,29.22,41.85,3.8,65.83,200.76,212.6,179.79,172,191.36,9.71,200.76,38.15,42.23,45.92,46.47,42.23,52.18,46.7,44.29,48.07,44.29,43.95,48.25,46.47,62.28,64.56,59.6,46.47,62.28,46.7,48.75,39.61,55.4,48.03,102.12,79.38,64.89,79.85,79.85,70.17,70.17,98.05,53.45,111.09,111.09,89.14
1981,4,20.99,31.54,27.57,27.57,24.72,35.8,47.98,49.21,26.43,31.97,31.97,40.26,28.06,13.31,17.88,10.85,65.52,65.01,53.21,55.44,26.83,32.08,42.71,25.86,17.64,20.36,34.03,34.03,53.95,53.46,48.28,7.87,22.9,19.39,14.38,30.67,17.74,11.43,19.55,19.12,32.03,38.31,22.61,42.71,25.02,26.27,0,57.66,0,30.34,63.96,79.96,43.77,55.82,31.99,54.76,36.68,40.35,23.49,27.8,58.9,41.88,53.46,43.24,55.52,31.99,39.14,58.33,66.54,43.51,28.96,7.35,19.39,34.54,36.58,25.55,28.21,19.75,5.5,5.27,14.83,20.75,36.95,58.33,23.55,22.67,41.75,17.26,30.8,54.55,69.76,53.29,79.15,71.36,31.25,49.67,68.56,58.39,57.45,58.77,60.48,60.48,72.91,58.62,57.36,51.48,62.36,62.99,59.71,68.54,71.3,66.95,74.26,62.48,68.98,60.9,62.36,80.24,71.85,34.62,35.69,80.24,85.07,35.69,33.99,42.03,42.17,34.89,44.16,49.79,57.85,51.89,40.64,47.83,37.88,47.83,40.35,60.89,54.76,52.95,59.32,52.6,44.57,32.69,40.64,34.89,99.18,113.62,94.98,84.81,94.61,94.61,136.04,53.25,92.58,62.46,62.46,75.16,54.35,71.76,136.04,75.16,67.73,23.04,12.6,67.73,46.21,91.7,82.21,99.18,77.18,77.18,62.5,36.32,33.71,42.66,48.46,70.73,44.67,28.39,39.21,56.28,83.68,83.68,40.67,56.28,18.71,91.7,64.88,53.2,44.17,55.52,58.71,25.23,64.88,37.34,37.1,36.48,34.3,37.1,37.06,38.77,38.16,42.82,38.16,40.46,42.53,34.3,38.3,38.69,45.29,34.3,38.3,38.77,32.09,28.84,42.25,29.83,59.74,48.13,45.21,50.66,50.66,38.54,38.54,50.29,37.18,68.37,68.37,54.72
1981,5,63.57,59.68,47.85,47.85,43.06,37.59,41.55,46.39,44.12,31.88,31.88,40.45,42.19,36.79,33.09,24.73,45.37,51.13,44.23,45.27,39.03,33.97,33.73,7.93,9.67,4.25,4.34,4.34,15.59,9.2,9,51.41,56.59,109.13,0.66,2.67,1.44,1.19,0.88,4.73,14.32,12.16,4.17,33.73,10.31,6.47,0,22.99,0,7.47,11.47,15.25,10.3,11.98,13.06,14.88,7.02,14.08,3.49,8.5,12.1,10.38,11.69,12.14,17.31,13.06,51.89,50.89,60.98,69.18,80.4,60.53,109.13,74.56,62.31,43.24,52.84,100.36,64.06,69.96,74.32,30.62,27.23,50.89,105.38,66.85,24.01,21.15,26.89,24.13,17.68,14.37,18.65,24.78,35.68,29.99,14.03,13.62,11.78,11.37,13.49,13.49,17.92,18.15,10.1,15.89,18.86,16.79,14.92,17.7,16.68,17.67,17.01,16.83,17.55,18.43,18.86,23.78,18.8,10.48,10.93,23.78,24.23,10.93,12.73,16.12,12.98,12.65,15.52,16.57,19.14,18.23,13.22,13.12,14.08,13.12,12.45,12.94,14.88,9.59,11.61,9,14.49,11.87,13.22,12.65,48.02,41.18,32.72,27.89,35.89,35.89,50.98,68.87,56.64,55.99,55.99,50.23,47.79,27.2,50.98,50.23,35.74,65.17,40.84,35.74,55.65,108.32,63.96,48.02,70.91,70.91,95.2,106.35,65.05,17.2,10.57,14.82,9.78,13.12,28.63,111.21,155.82,155.82,177.97,111.21,82.87,108.32,18.81,17.18,10.58,17.31,18.53,42.2,18.81,211.96,207.66,221.31,246.58,207.66,222.26,264.98,238.7,260.27,238.7,258.09,245.48,246.58,212.95,236.39,291.84,246.58,212.95,264.98,205.71,195.28,206.41,212.81,95.31,165.75,107.44,109.22,109.22,183.77,183.77,188.26,140.68,153.97,153.97,120.4
1981,6,110.54,85.04,65.34,65.34,144.53,117.94,31.75,18.47,21.9,37.2,37.2,50.98,66.72,45.95,25.04,32.78,10.52,6.15,4.11,10.51,10.79,3.91,0,13.31,3.55,0.68,6.88,6.88,0.43,0.22,7.97,116.24,182.19,191.65,0,0,1.44,0,0,0.1,0,0,0,0,0,0,0,0,0,1.23,0.89,6.15,0,0.2,0,6.31,0,0,0,0,0,0,1.33,0,2.22,0,141.22,88.34,99.06,127.51,144.78,175.39,191.65,146.91,102.86,125.17,145.06,161.92,175.92,166.77,171.69,92.89,65.3,88.34,184.26,174.13,71.74,96.36,108.84,74.78,39.14,22.07,40.6,60.15,116.19,79.13,27.98,2.68,8.91,18.1,10.21,10.21,10.31,1.54,14.75,12.99,14.63,9.2,5.85,7.78,5.52,3.78,5.52,5.36,5.1,8.97,14.63,28.51,15.83,6.52,5.15,28.51,29.98,5.15,11.66,18.79,19.73,16.14,7.32,6.26,6.34,8.58,8.65,7.24,10.71,7.24,13.89,10.43,6.31,12.57,7.94,12.68,11.65,8.47,8.65,16.14,102.78,86.6,70.38,48.55,65.2,65.2,94.16,99.2,95.38,98.07,98.07,92.15,70.13,47.75,94.16,92.15,90.74,175.35,142.14,90.74,163.17,145.26,111.7,102.78,105.82,105.82,127.65,143.9,186.17,30.21,11.42,33.75,12.83,21.26,48.57,182.5,183.85,183.85,211.36,182.5,181.59,145.26,4.48,0.2,2.68,2.22,0.66,130.01,4.48,277.34,289.42,307.23,314.57,289.42,303.97,294.34,301.7,255.81,301.7,282,268.7,314.57,285.46,295.9,249.62,314.57,285.46,294.34,240.26,247.09,249.09,245.26,187.46,328.05,251.04,231.71,231.71,310.2,310.2,271.7,284.54,226.05,226.05,211.07
1981,7,332.29,363.71,350.26,350.26,379.49,408.19,297.32,262.18,265.35,285.44,285.44,321.15,333.17,313.91,308.11,282.52,226.63,201.92,218.59,224.04,244.19,235.02,151.19,260.64,241.02,210.37,261.57,261.57,208,188.14,282.94,235.15,374.24,376.61,57.06,64.34,28.95,36.62,34.81,65.01,128.84,128.11,75.4,151.19,151.95,112.77,0,62.15,0,37.2,104.23,94.43,105.93,143.84,137.98,243.74,101.83,131.07,86.87,102.66,140.72,121.27,190.9,119.27,178.24,137.98,367.9,412.54,351.99,320.57,293.58,258.18,376.61,289.25,287.27,337.34,293.89,287.44,264.38,288.39,374.48,331.88,263.46,412.54,318.71,323.17,363.62,394.97,480.34,449.26,327.2,262.93,322.81,376.24,466.26,400.81,261.09,192.14,254.1,246.28,291.23,291.23,282.91,183.6,271.07,270.78,314.67,349.97,269.51,274.8,256.78,221.88,248.6,353.78,312.66,396.52,314.67,276.24,303.88,342.33,378.68,276.24,304.97,378.68,370.85,345.05,356.49,385.66,382.2,374.06,241.71,289.4,406.56,284.34,400.47,284.34,367.64,301.46,243.74,317.87,224.05,263.66,390.94,365.87,406.56,385.66,461.97,433.13,372.46,308.28,346.72,346.72,440.33,301.77,358.17,317.55,317.55,348.36,342.04,303.32,440.33,348.36,402.42,463.52,403.75,402.42,462.51,463.94,447.1,461.97,380.16,380.16,345.09,273.65,469.58,248.68,283.41,268.12,275.31,258.11,252.78,499.07,481.03,481.03,500.03,499.07,416.45,463.94,253.56,181.37,213.66,178.24,173.97,476.58,253.56,355.51,363.38,364.15,330.83,363.38,334.51,304.03,329.56,287.62,329.56,326.58,257.26,330.83,308.39,303.09,246.35,330.83,308.39,304.03,281.12,304.48,327.4,295.32,345.87,374.93,347.76,335.16,335.16,346.53,346.53,315.9,320.27,322.81,322.81,332.77
1981,8,416.78,437.43,454.31,454.31,449.21,437.47,275.53,211.9,246.1,306.82,306.82,382.33,381.82,343.44,292.35,314.27,164.12,134.52,163.87,192.97,208.92,188.69,128.9,263.54,195.54,194.68,235,235,192.72,183,240.55,269.38,428.66,430.6,51.06,41.69,19.3,31.78,36.31,76.92,198.19,172.92,70.45,128.9,141.74,114.28,0,62.33,0,14.9,138.28,112,118.83,174.6,205.39,264.8,104.57,157.7,89.74,121.69,163.69,204.71,225.72,209.67,260.44,205.39,378.81,409.59,365.1,351.39,331.95,255.01,430.6,343.53,329.65,318.64,273.3,276.86,227.28,243.81,319.77,323.84,302.69,409.59,358.8,290.79,346.71,348.2,408.12,400.65,306.13,259.45,284.75,307.63,378.61,322.35,267.07,202.46,242.96,254.52,283.12,283.12,277.68,232.31,260.59,269.85,296.45,343.55,297.74,286.65,303.01,288.48,334.38,405.98,354.5,376.42,296.45,269.98,311.46,368.77,387.09,269.98,292.18,387.09,334.38,321.66,315.12,325.01,430.5,423.65,324.28,354.82,421.15,313.33,386.36,313.33,291.85,276.49,264.8,269.97,209.56,244.51,360.09,364.4,421.15,325.01,364.67,349.24,308,278.41,282.55,282.55,365.35,219.98,328.63,267.16,267.16,292.29,253.24,228.12,365.35,292.29,315.01,378.07,359,315.01,364.81,349.44,319.25,364.67,270.83,270.83,251.23,237.97,386.21,276.72,259.04,294.12,253.52,279.3,292.67,429.37,422.6,422.6,474.85,429.37,358.67,349.44,353.96,269.08,260.1,260.44,276.74,373.57,353.96,331.69,359.87,337.74,339.66,359.87,328.75,316.04,322.73,292.42,322.73,314.1,298.11,339.66,314.47,320.67,264.62,339.66,314.47,316.04,268.92,324.89,309.91,317.6,240.58,339.88,278.98,258.78,258.78,331.08,331.08,310.61,292.34,298.35,298.35,243.19
1981,9,122.53,101.86,102.09,102.09,163.16,162.25,33.34,15.01,28.77,64.11,64.11,84.5,104.14,54.31,30.77,33.38,7.08,8.29,9.43,8.56,16.31,16.22,10.3,20.64,18.59,18.91,29.14,29.14,26.11,19.51,31.86,148.97,201.33,273.57,5.04,18.47,30.08,16.62,11.53,11.45,30.68,30.38,5.03,10.3,8.95,7.01,0,2.87,0,33.06,55.47,68.09,41,63.88,40.35,102.59,23.71,31.53,19.3,11.42,16.83,35.9,77.48,42.71,70.41,40.35,165.17,141.64,120.88,140.21,150.2,196.95,273.57,163.27,109.82,96.65,99.07,182.41,179.08,221.66,208.59,71.84,47.94,141.64,234.2,179.43,95.6,116.68,198.95,152.33,91.55,77.03,124.87,190.33,294.4,255.4,47.44,26.74,39.15,39.3,59.08,59.08,61.25,45.33,42.33,56.79,72.14,86.39,74.84,67.19,88.57,70.8,87.27,117.49,120.46,102.38,72.14,112.96,97.49,106.41,84.35,112.96,109.99,84.35,129.22,140.55,131.63,141.23,130.3,121.16,106.72,121.46,132.01,118.13,146.48,118.13,114.44,127.29,102.59,125.46,111.52,128.26,144.54,118.99,132.01,141.23,201.87,181.93,149.82,122.19,137.25,137.25,183.25,160.34,190.53,169.01,169.01,168.58,131.96,128.73,183.25,168.58,231.31,246.78,188.91,231.31,260.66,219.5,194.94,201.87,176.84,176.84,180.01,188.87,271.11,30.36,21.27,41.17,30.11,23.87,53.08,269.67,254.93,254.93,306.6,269.67,248.21,219.5,91.66,58.31,68.74,70.41,64.18,247.26,91.66,293.19,324.53,322.09,303.81,324.53,315.01,274.76,287.49,249.55,287.49,268.82,271.27,303.81,317.6,309.54,227.58,303.81,317.6,274.76,291.64,287.53,335.47,288.72,234.89,362.48,306.13,272.38,272.38,351.04,351.04,347.55,324.94,343.58,343.58,252.92
1981,10,37.44,36.78,31.43,31.43,40.05,36.36,20.26,13.42,11.65,28.9,28.9,28.95,26.02,14.03,8.54,9.97,9.74,14.5,15.81,13.48,12.01,16.15,15.65,5.6,5.19,5.33,8.68,8.68,9.8,8.99,10.97,33,51.76,65.1,0.32,4.5,2.58,2.39,0.4,0.73,6.35,6.14,3.01,15.65,5.9,3.33,0,10.87,0,8.21,18.94,14,9.84,15.97,12.83,21.69,3.98,7.63,3.92,3.86,10.34,7.72,18.27,10.11,19.01,12.83,42.93,33.45,43.91,57.38,61.39,41.83,65.1,75.42,48.91,50.67,48.09,77.07,53.83,62.89,89.31,42.27,25.17,33.45,65.17,85.22,51.88,59.01,79.5,63.59,40.02,28.86,51.52,73.01,101.14,87.07,20.69,14.57,16.38,15.81,13.55,13.55,20.25,16.13,16.04,13.07,15.69,15.6,15.34,16.63,22.81,19.89,21.73,21.77,24.89,19.59,15.69,16.64,13.44,16.23,13.59,16.64,24.1,13.59,9.52,8.73,6.95,9.99,27.17,23.49,23.74,30.73,24.97,23.35,26.34,23.35,16.49,23.76,21.69,20.16,20.75,19.5,27.55,14.42,24.97,9.99,62,51.85,46.04,34.37,29.61,29.61,39.88,35.33,45.54,36.39,36.39,33.96,19.7,18.2,39.88,33.96,99.57,105.1,81.67,99.57,118.87,74.96,60.63,62,53.35,53.35,61.89,54.51,109.72,15.52,7.59,22.26,11.25,7.69,25.26,104.76,91.73,91.73,108.77,104.76,94.27,74.96,19.84,13.68,18.45,19.01,16.28,101.18,19.84,79.07,67.72,63.92,65.45,67.72,68.84,88.88,76.93,75.9,76.93,83.07,102.01,65.45,68.5,82.68,76.93,65.45,68.5,88.88,60.59,82.07,80.03,66.44,29.09,44.21,48.09,32.08,32.08,53.16,53.16,46.11,46.76,44.4,44.4,30.12
