"year","month","EDACaP020205","EDACaP020207"
1981,1,0.259999999,0.969999991
1981,2,8.369999951,2.629999948
1981,3,169.770002253,104.820001247
1981,4,13.569999899,24.779999963
1981,5,3.989999905,1.230000002
1981,6,0.200000003,0
1981,7,8.340000092,12.169999941
1981,8,8.660000063,19.870000063
1981,9,2.059999964,8.809999997
1981,10,0.540000016,1.849999974
1981,11,0.639999984,0.750000015
1981,12,0.069999999,0.07
1982,1,4.47999989,6.750000038
1982,2,19.280000366,14.149999893
1982,3,15.440000124,6.240000091
1982,4,26.539999955,16.559999856
1982,5,15.330000122,11.620000033
1982,6,0,0.02
1982,7,4.389999942,2.929999961
1982,8,6.419999965,18.659999772
1982,9,14.880000072,27.019999994
1982,10,26.809999968,68.349999683
1982,11,15.260000135,38.060000382
1982,12,14.05999989,15.700000181
1983,1,13.010000293,20.929999921
1983,2,51.629999802,37.080000137
1983,3,13.32000021,7.079999998
1983,4,21.300000156,17.62000001
1983,5,9.96999988,19.51000001
1983,6,3.289999959,3.649999951
1983,7,5.389999985,5.009999966
1983,8,8.259999975,7.840000032
1983,9,0.899999982,5.959999905
1983,10,0.560000014,1.819999989
1983,11,0,0.059999999
1983,12,1.099999995,0.829999987
1984,1,0.489999997,1.869999999
1984,2,0.070000001,0.599999986
1984,3,1.439999972,1.000000015
1984,4,0.189999998,0.079999999
1984,5,28.329999762,47.830000474
1984,6,0.27000001,0.02
1984,7,2.459999996,5.500000118
1984,8,4.199999999,0.799999982
1984,9,28.899999791,37.289999975
1984,10,0,0
1984,11,1.400000003,0.059999998
1984,12,12.029999749,16.239999623
1985,1,5.859999989,4.799999777
1985,2,0.139999998,1.09000003
1985,3,1.619999939,1.250000017
1985,4,75.109999518,69.749999726
1985,5,32.540000614,23.329999747
1985,6,0.570000005,7.260000077
1985,7,15.279999972,26.299999668
1985,8,15.289999848,20.349999974
1985,9,23.320000135,48.030000425
1985,10,1.499999991,19.029999781
1985,11,0.01,0
1985,12,1.019999984,1.739999997
1986,1,0.059999999,0.210000006
1986,2,6.76999985,4.580000019
1986,3,8.379999811,5.519999958
1986,4,68.700000091,49.94999956
1986,5,2.41000003,4.3
1986,6,6.409999916,10.120000018
1986,7,14.81000011,13.93000003
1986,8,11.570000074,20.100000193
1986,9,14.669999994,17.749999908
1986,10,0.819999985,6.309999882
1986,11,0.219999993,0.320000012
1986,12,5.310000076,6.540000036
1987,1,1.43000003,2.980000054
1987,2,5.789999994,3.580000012
1987,3,36.179999564,18.230000156
1987,4,83.009999593,97.089998936
1987,5,18.050000053,44.959999489
1987,6,0,0
1987,7,5.18999998,6.529999876
1987,8,19.299999936,24.940000072
1987,9,1.059999991,8.59000022
1987,10,2.330000009,11.849999789
1987,11,0.02,0
1987,12,5.389999928,4.180000043
1988,1,0.889999985,2.500000022
1988,2,45.62000041,43.70000044
1988,3,0.03,0.320000001
1988,4,26.400000034,24.069999604
1988,5,0.829999988,0.760000018
1988,6,2.760000022,0.89000002
1988,7,20.71000026,37.249999709
1988,8,15.749999753,16.510000165
1988,9,12.140000018,29.439999735
1988,10,1.60999999,12.999999705
1988,11,0,0
1988,12,1.22999998,1.03000002
1989,1,1.760000012,7.599999924
1989,2,3.55999999,2.579999984
1989,3,33.249999942,19.720000128
1989,4,33.810000015,52.160000445
1989,5,1.040000011,1.189999982
1989,6,1.540000021,0.099999998
1989,7,11.53000012,11.23999982
1989,8,33.039999726,18.390000005
1989,9,7.770000041,9.86000002
1989,10,4.050000088,11.519999983
1989,11,0,0
1989,12,22.319999966,8.430000006
1990,1,1.039999993,3.569999995
1990,2,36.999999195,31.880000263
1990,3,5.430000066,17.719999684
1990,4,52.490000007,66.49000058
1990,5,0.150000006,0.01
1990,6,0,0
1990,7,2.980000009,3.270000007
