"year","month","mw_00001","mw_00002","mw_00003"
1982,1,353.700174803,334.347898009,306.788769017
1982,2,292.827421639,265.134212017,276.833588121
1982,3,92.284327268,75.693517921,74.251692656
1982,4,70.365805624,56.205451018,42.071138617
1982,5,16.487774372,0,9.789277554
1982,6,0,0,0
1982,7,6.442844629,0,0
1982,8,0,0,0
1982,9,0,0.851750672,1.041965723
1982,10,14.998105049,13.755537986,12.054785729
1982,11,112.781430246,81.241788392,85.272855992
1982,12,138.009082789,162.186172489,154.619959839
1983,1,162.249732482,188.814394243,173.173688295
1983,2,236.835085867,228.314758758,226.496977332
1983,3,143.385950092,134.145728359,89.75320387
1983,4,53.616107948,57.852531908,45.875184057
1983,5,7.704132557,0,5.781504631
1983,6,0,0,0
1983,7,6.654253722,0,0
1983,8,0,0,0
1983,9,0,0,0
1983,10,6.067080498,6.128140211,5.344554663
1983,11,38.597830058,27.323346137,19.469899535
1983,12,214.342058422,205.323727853,181.193428295
1984,1,171.815276382,154.864114533,186.306115152
1984,2,233.386601204,209.191976548,206.138667714
1984,3,169.327057845,135.431908363,152.333645835
1984,4,45.232174874,38.953843119,23.156162262
1984,5,12.850414514,0,5.82529974
1984,6,0,0,0
1984,7,6.763941765,0,0
1984,8,0,0,0
1984,9,0,0,0
1984,10,10.719184875,10.055784703,6.869705678
1984,11,130.538744929,115.593310606,123.12953281
1984,12,312.067009452,307.815282367,250.093663198
1985,1,230.941475862,234.857057095,199.111135954
1985,2,181.198949339,178.51691104,206.052113769
1985,3,243.950637357,268.929101932,252.12910032
1985,4,78.618029594,85.427654738,53.041404249
1985,5,6.701857805,0,0
1985,6,0,0,0
1985,7,5.837721586,0,0
1985,8,0,0,0
1985,9,0,0,0
1985,10,8.659322739,12.535481452,11.023075104
1985,11,145.556056749,138.809866669,108.314573758
1985,12,202.147651186,229.069257551,187.224609139
1986,1,269.72708466,232.106909993,238.104917998
1986,2,225.434911489,212.383011827,181.92089892
1986,3,176.270090572,143.927194121,170.022846224
1986,4,65.994676121,72.543762699,43.325093266
1986,5,12.763420343,0,7.588842153
1986,6,0,0,0
1986,7,5.709869623,0,0
1986,8,0,0,0
1986,9,0,0,0
1986,10,43.01292753,39.517657283,32.721871853
1986,11,59.329641223,58.069872614,52.568761348
1986,12,175.846352586,215.097484809,202.647201063
1987,1,275.219968795,239.298887261,252.701306342
1987,2,185.828837629,153.890615931,158.149969808
1987,3,147.630188456,138.459355113,131.628159516
1987,4,39.17691422,38.144362448,47.8007555
1987,5,7.239459038,2.164629876,4.607373476
1987,6,0,0,0
1987,7,5.575225591,0.130925059,1.584489584
1987,8,0,0,0
1987,9,0,0,0
